Título;Gênero;Categoria de Gênero;Pré estreia;Temporadas;Quantidade de temporadas;quantidade de episodios;Duração;Duração mínima;Duração máxima;Status;Ativa;Catálogo;Idioma;dt_inclusao;Data de Alteracao
She-Ra and the Princesses of Power;childrens-animation;childrens-animation;2023-04-27;2 seasons, 20 episodes;2;20;24 min.;24;24;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Making a Murderer;Crime drama;crime,drama;2023-04-27;2 parts, 20 episodes;0;20;47–77 min.;47;77;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Hemlock Grove;Horror/thriller;horror,thriller;2023-04-27;3 seasons, 33 episodes;3;33;45–58 min.;45;58;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Bonding;Dark comedy;dark,comedy;2023-04-27;1 season, 7 episodes;1;7;13–17 min.;13;17;Pending;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Typewriter;Horror;horror;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Hindi;2021-03-16;2023-04-27T17:33:17.694Z
Westside;Music;music;2023-04-27;1 season, 8 episodes;1;8;46–58 min.;46;58;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Wet Hot American Summer: First Day of Camp;Satirical comedy;satirical,comedy;2023-04-27;8 episodes;0;8;27–30 min.;27;30;Miniseries;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Legend Quest;childrens-animation;childrens-animation;2023-04-27;1 season, 13 episodes;1;13;22 min.;22;22;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
White Rabbit Project;Science investigation;science,investigation;2023-04-27;1 season, 10 episodes;1;10;45–48 min.;45;48;Ended;0;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
My First First Love;Romantic comedy;romantic,comedy;2023-04-27;1 season, 8 episodes;1;8;46–56 min.;46;56;Renewed;1;ForeignLanguage;Korean;2021-03-16;2023-04-27T17:33:17.694Z
Sugar Rush;Baking competition;baking,competition;2023-04-27;1 season, 8 episodes;1;8;51–55 min.;51;55;Renewed;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
I Think You Should Leave with Tim Robinson;Sketch comedy;sketch,comedy;2023-04-27;1 season, 6 episodes;1;6;16–18 min.;16;18;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
